,Company Names ,Website Link  
0,Cubical Laboratories Private Limited,www.cubical.in
1,Signzy Technologies Private Ltd.,www.signzy.com
2,PurpleBits Infosystems Pvt Ltd,www.purpledocs.com
3,Say-luss Medicare pvt ltd,www.saylussmedicare.com
4,Rabbit and Tortoise Technology Solutions,www.rnt.ai
5,Smart Joules Pvt. Ltd,www.smartjoules.co.in/
6,I REE CONSTRUCTION INDIA PRIVATE LIMITED,www.ireeworld.com
7,Indus OS,www.indusos.com
8,Wimera Systems Pvt Ltd,wimerasys.com
9,Invilogic Software PVT LTD,Read More 
10,Green Agrevolution Private Limited ,agrevolution.in
11,GOOFFER HYPERLOCAL PVT LTD,No website found
12,IPS e Services Private Limited,www.ipsindia.co.in
13,PictureTime Digiplex Pvt Ltd,www.picturetime.in
14,Sequretek IT Solutions Pvt. Ltd.,www.sequretek.com
15,NetObjex (India) Pvt. Ltd.,netobjex.com
16,Budi Srinivasa Rao,No website found
17,Budi parvathi,No website found
18,WiJungle,www.wijungle.com
19,Geo Climate Risk Solutions Pvt Ltd,gcrs.co.in/
20,WeMakeScholars Edtech Pvt Ltd,www.wemakescholars.com/
21,LectureNotes Technologies Pvt Ltd,lecturenotes.in
22,TechClove Technologies Pvt Ltd,www.flatpebble.com
23,Tapits Technologies Private Limited,fingpay.co.in
24,Inspilearn Education Private Limited,www.scholr.com
25,Safal Staratup,www.safalstartup.com
26,Ithink Logistics,www.ithinklogistics.com
27,Log 9 Materials Scientific Private Limited,www.log9materials.com/
28,Brishti Technologies Pvt Ltd,www.learnpick.in
29,IOTomation Ecotech Private Limited,No website found
30,WiSig Networks Pvt Ltd,www.wisig.com
31,Volumetree Technology Solutions Private Limited,www.volumetree.com
32,Calligo Technologies Pvt Ltd,www.calligotech.com/
33,Alcodex Technologies Pvt. Ltd.,www.alcodex.com
34,PuREnergy Pvt Ltd,pureev.in
35,Pineaxe Technologies LLP,www.examly.io
36,Mpover India Tyre eService and AMC Pvt Ltd,www.mpoverindia.com
37,TrakitNow Technologies Pvt Ltd,www.trakitnow.com
38,Phoenix Robotix Pvt. Ltd.,phoenixrobotix.com
39,Luharia Technologies Private Limited,www.anytimeloan.in
40,EffiaSoft Pvt. Ltd.,effiasoft.com/
41,Soulpage IT Solutions,soulpageit.com/
42,IMPACTOXGEN PRIVATE LIMITED,No website found
43,Chipspirit,www.chipspirit.com
44,Legalkart,www.legalkart.com
45,CareNX Innovations Pvt. Ltd,www.carenx.com
46,Acculytixs Private Limited,www.acculytixs.com
47,Pravesh,No website found
48,NOVA GLOBAL DESIGN SPACE SOLUTIONS PVT LTD.,www.novaglobal.in
49,SatSure Analytics India Pvt. Ltd. ,satsure.co
50,anyEMI Online Services Private Limited,www.anyemi.com
51,Cenacle Research India Private Limited,Read More 
52,Lab To Market Innovation,lab-to-market.com/contact/
53,Workruit,workruit.com
54,Optimized Electrotech Pvt Ltd,www.optimizedelectrotech.com
55,Anvation Labs Private Limited,Read More 
56,Fastech Fashions Private Limited,www.fastechfashions.com
57,Scalett Moose,www.scarlettmoose.com/
58,5C Network INDIA Pvt Ltd,www.5cnetwork.com
59,TRUCKHALL PRIVATE LIMITED,www.superprocure.com
60,Synergy Teletech Private Limited,www.synergyteletech.com
61,SenseGiz Technologies Pvt Ltd.,www.sensegiz.com
62,Automovill Technologies Pvt Ltd,www.automovill.com/
63,Innovative Design and Entrepreneurship Art ,No website found
64,MOBISMART CARD TECHNOLOGY P LTD,www.mobismartcard.com
65,Aadiwasi JanJagruti,aadiwasijanjagruti.org
66,EMINENCE,No website found
67,Roushan Jan Seva,roushanseva.in
68,PrintSkool,www.indiamart.com/printskool/
69,Isthriwala Laundry Services - 7Cousins Enterprises,isthriwala.com
70,Gamut Analytics Private Limited,saarthi.ai
71,Grinntech Motors and Services Pvt. Ltd.,www.grinntech.com
72,Lithion Power,www.lithionpower.com
73,Aviconn Solutions Pvt Ltd,www.aviconn.in
74,mahananda agencies,No website found
75,Emc square,www.emc2.com
76,EDSIX BRAINLAB PRIVATE LIMITED,skillangels.com
77,jaysingh narwariya,www.kriscoagrotech.com
78,Telebeacon Solutions Pvt Ltd,www.telebeacon.com
79,Center of Digital Excellence (CODE) Private Limited,codeglobal.in/
80,Tek Cube Pvt Ltd,wesecureapp.com
81,AdstringO Software Private Limited,adstringo.in
82,Inesh Smart Energy (P) Ltd,www.ineshenergy.com
83,Telemo.io,Telemo.io
84,F6 Design & Training Solution,f6designandtrainingsolution.com/
85,OffCampusTest Technologies Private Limited,hrbot.co
86,EstateMan,www.estatemanservice.in
87,Codebucket solutions private limited,codebuckets.in
88,Garth Holloway,www.innotechaqua.com/
89,pharos softtech pvt ltd,pharoslife.in
90,Vizara Technologies Private Limited,www.vizaratech.com
91,Ashutosh Kumar,www.roadexpress.in
92,B2C Customer Service Pvt Ltd,www.helpguru.com
93,iDream Education,www.idreameducation.org/
94,Constems-AI Systems Pvt Ltd,No website found
95,ZIROH LABS PRIVATE LIMITED,ziroh.com
96,NEXREA PRIVATE LIMITED,nexrea.com
97,GoFloaters A unit of SMBSure Business Solutions Private Limited,gofloaters.com
98,PHOENIX ANALYTICS,www.phoenixanalytics.in
99,Numocity Technologies,www.numocity.com
100,PROSPERITA MEDI 360 PVT LTD,www.medi360.in
101,muuvr,www.muuvr.in
102,Kitbag Tech Private Limited,livolearn.com
103,The Solar Labs,thesolarlabs.com
104,PerfectFit Systems Private Limited,perfit.studio
105,Uengage Services Private Limited,www.uengage.in/
106,METAPHOR NETWORKS PRIVATE LIMITED,www.metaphornetworks.com
107,EndureAir Systems Private Limited,endureair.tech
108,Eyedentify Systems Private Limited,www.eyedentify.ai/
109,Fabheads Automation,www.fabheads.in/
110,Tychee Innovations Pvt LTD,No website found
111,De corporate Consulting pvt ltd,www.dccpl.in
112,SKAAS TECHNOLOGY SOLUTIONS PRIVATE LIMITED,skaas.guru/
113,Three Axis Engineering Services Pvt Ltd,www.3axis.co.in
114,SEMI-KSHA Semiconductors Pvt Ltd,www.semiksha.com
115,Cybsky  Cyberambassador Solutions Pvt Ltd.,cyberambassador.co.in
116,GFF Innovations Pvt Ltd,www.gffinnov.com
117,RAVENEYE GEOSPATIAL PRIVATE LIMITED,No website found
118,Kritsnam Technologies Pvt. Ltd.,www.kritsnam.in
119,JBS Agro Farms Pvt LTD,No website found
120,Howdy Ventures Private Limited,howdydo.in
121,Shrihaas Consultancy Services,www.shrihaas.com
122,AlmaShines Technologies Private Limited,almashines.com
123,ideez,ideez.in
124,Arrelic Reliability Private Limited,www.arrelic.com/
125,FINOLOGY VENTURES PRIVATE LIMITED,Read More 
126,IoTian Technologies Private Limited,www.iotiantech.com
127,CamfyVision Technologies Pvt. Ltd. ,www.camfyvision.com/
128,Santos Kumar Das ,isdr.nitrkl.ac.in/
129,FYROOMS,fyrooms.com
130,Waferchips Techno Solutions Pvt Ltd,www.mybiocalculus.com/
131,Greens and more,www.greensandmore.in
132,KloudPortal ,www.kloudportal.com
133,Budli Internet Private Limited,budli.in
134,Healtheeliving E Solutions Pvt Ltd,aarogyahaar.com
135,OCEO WATER PRIVATE LIMITED,www.oceowater.com
136,Janani Foods Pvt Ltd,htpps//www.jananigroup.com
137,Bigdatamatica Solutions Pvt Ltd,www.bigdatamatica.com
138,Academy of Robotics,www.academyofrobotics.net
139,Terminus Circuits Pvt Ltd,www.terminuscircuits.com
140,Microscale Technology OPC pvt LTD,www.microscaletech.com/
141,SquadX Innovations Pvt. Ltd. ,squadx.io
142,KP Factors,www.kpfactors.com
143,Robokart,www.robokart.com
144,Datacultr,datacultr.com
145,Zimyo,www.zimyo.com/
146,OLatus Systems Private Limited,www.olatus.com
147,Anextech Electronics Manufacturing Pvt. Ltd.,www.anextech.co.in
148,DronaMaps Private Limited,dronamaps.com
149,Drones Tech Lab - A Unit of RC Hobbytech Solutions Pvt Ltd,www.dronestechlab.com
150,MMRFIC TECHNOLOGY PRIVATE LIMITED ,www.mmrfic.com
151,Zenida Studios,www.zenidastudios.com/
152,EVQPoint,www.evqpoint.com
153,Ray Purifiers,No website found
154,Cryptappz Technologies LLP,cryptappz.com
